route_id,route_short_name,route_long_name,route_type,route_color,route_text_color
1-VIC,1,South Oak Bay / Downtown,3,004B8D,FFFFFF
2-VIC,2,James Bay / South Oak Bay,3,8CC63F,FFFFFF
3-VIC,3,James Bay / Royal Jubilee,3,F37421,FFFFFF
4-VIC,4,UVic / Downtown,3,00AEEF,FFFFFF
5-VIC,5,James Bay / Willows,3,8177B7,FFFFFF
6-VIC,6,Royal Oak Exch / Downtown,3,FCAF17,FFFFFF
7-VIC,7,UVic / Downtown,3,00AA47,FFFFFF
8-VIC,8,Interurban / Tillicum Centre / Oak Bay,3,ED1D8F,FFFFFF
9-VIC,9,Royal Oak / UVic,3,8177B7,FFFFFF
10-VIC,10,James Bay / Royal Jubilee,3,49176B,FFFFFF
11-VIC,11,Tillicum Centre / UVic,3,B2BB1E,FFFFFF
12-VIC,12,University Heights / UVic,3,4F6F19,FFFFFF
13-VIC,13,Ten Mile Point / UVic,3,77AF99,FFFFFF
14-VIC,14,Vic General / UVic,3,E270AB,FFFFFF
15-VIC,15,Esquimalt / UVic,3,5D87A1,FFFFFF
17-VIC,17,Cedar Hill,3,F49A5D,FFFFFF
21-VIC,21,Interurban / Downtown,3,B3AA7E,FFFFFF
22-VIC,22,Vic General / Hillside Centre,3,BF83B9,FFFFFF
24-VIC,24,Cedar Hill / Tillicum Centre,3,A54499,FFFFFF
25-VIC,25,Maplewood / Tillicum Centre,3,00B5AD,FFFFFF
26-VIC,26,Dockyard / UVic,3,B06E0E,FFFFFF
27-VIC,27,Gordon Head / Downtown,3,8E0C3A,FFFFFF
28-VIC,28,Majestic / Downtown,3,E31937,FFFFFF
30-VIC,30,Royal Oak Exch / Downtown,3,AC5C3B,FFFFFF
31-VIC,31,Royal Oak Exch / Downtown,3,875D9F,FFFFFF
32-VIC,32,Cordova Bay / Royal Oak Exch,3,7C3F25,FFFFFF
35-VIC,35,Ridge,3,91278F,FFFFFF
39-VIC,39,Westhills / Interurban / Royal Oak / UVic,3,FFC20E,FFFFFF
43-VIC,43,Royal Roads via Belmont Park,3,004B8D,FFFFFF
46-VIC,46,Dockyard / Westhills,3,8CC63F,FFFFFF
47-VIC,47,Goldstream Meadows / Downtown,3,F37421,FFFFFF
48-VIC,48,Happy Valley / Downtown,3,00AEEF,FFFFFF
49-VIC,49,Skirt Mountain / Langford Exch,3,4F6F19,FFFFFF
51-VIC,51,Langford / UVic,3,00AA47,FFFFFF
52-VIC,52,Colwood Exch / Bear Mountain,3,ED1D8F,FFFFFF
53-VIC,53,Vic General / Langford Exch,3,8177B7,FFFFFF
54-VIC,54,Metchosin / Langford Exch,3,49176B,FFFFFF
55-VIC,55,Happy Valley / Langford Exch,3,B2BB1E,FFFFFF
57-VIC,57,Thetis Heights / Langford Exch,3,77AF99,FFFFFF
58-VIC,58,Goldstream Meadows / Langford Exch,3,E270AB,FFFFFF
59-VIC,59,Triangle Mountain / Langford Exch,3,5D87A1,FFFFFF
60-VIC,60,Wishart / Langford Exch,3,0073AE,FFFFFF
61-VIC,61,Sooke / Langford / Downtown,3,F49A5D,FFFFFF
63-VIC,63,Otter Point,3,B3AA7E,FFFFFF
64-VIC,64,Langford Exch / Sooke via E Sooke and Beecher Bay,3,BF83B9,FFFFFF
65-VIC,65,Sooke / Downtown via Westhills,3,A54499,FFFFFF
70-VIC,70,Swartz Bay / Downtown,3,00B5AD,FFFFFF
71-VIC,71,Swartz Bay / Downtown,3,B06E0E,FFFFFF
72-VIC,72,Swartz Bay / Downtown,3,8E0C3A,FFFFFF
75-VIC,75,Saanichton / Royal Oak / Downtown,3,E31937,FFFFFF
81-VIC,81,Brentwood / Saanichton / Sidney / Swartz Bay,3,875D9F,FFFFFF
82-VIC,82,Sidney / Saanichton via Stautw,3,7C3F25,FFFFFF
83-VIC,83,Sidney / Brentwood / Royal Oak,3,91278F,FFFFFF
85-VIC,85,North Saanich,3,FFC20E,FFFFFF
87-VIC,87,Saanichton / Sidney via Dean Park,3,004B8D,FFFFFF
88-VIC,88,Airport / Sidney,3,8CC63F,FFFFFF
95-VIC,95,Langford / Downtown Blink,3,FCAF17,FFFFFF
